gene	-1*WT.unstressed 1*WT.EtOH	-1*msn24dd.unstressed 1*msn24dd.EtOH	-1*WT.EtOH 1*msn24dd.EtOH	-1*WT.unstressed 1*msn24dd.unstressed	1*WT.unstressed -1*WT.EtOH -1*msn24dd.unstressed 1*msn24dd.EtOH
YIL170W	1	1	0	0	0
YFL056C	0	1	1	0	1
YAR061W	0	0	0	0	0
YGR014W	-1	-1	0	0	0
YPR031W	-1	-1	0	0	0
YIL003W	-1	-1	0	0	0
YBR140C	1	1	-1	0	0
YKL029C	-1	-1	0	0	0
YLR154C-G	0	0	0	0	0
YPL028W	-1	0	1	0	1
YDL235C	0	1	0	0	1
YER091C	1	1	1	0	1
YDR356W	-1	-1	0	0	0
YDR337W	-1	-1	0	0	0
YKL008C	0	0	-1	0	0
YDL200C	0	0	0	0	0
YJR134C	0	0	1	0	0
YMR135C	1	1	-1	0	-1
YGR012W	1	1	0	0	0
YCR024C-A	-1	-1	0	0	0
YBL101C	1	1	-1	0	-1
YLL040C	1	1	-1	0	-1
YLR216C	1	1	-1	1	-1
YJL210W	1	-1	-1	0	-1
YML116W-A	1	1	-1	0	0
YBL058W	1	1	-1	0	-1
YJR127C	1	1	-1	0	-1
YKL128C	1	1	0	0	0
YLR100W	-1	-1	1	0	1
YOR292C	1	1	-1	0	-1
YNL219C	1	1	0	0	0
YDR540C	1	1	0	0	0
YER087W	1	1	0	0	0
YFL009W	1	1	0	0	0
YLL004W	-1	0	1	0	0
YKL057C	-1	0	0	0	0
YGL157W	1	1	0	0	0
YLR037C	0	0	0	0	0
YMR307W	-1	-1	1	0	1
YIL116W	1	1	0	0	0
YAL040C	1	0	-1	0	-1
YPL259C	1	1	1	0	0
YDR461C-A	1	1	0	0	0
YIR005W	0	0	1	0	0
YDL080C	1	1	0	0	0
YEL044W	-1	-1	1	0	0
YLR286C	0	0	0	0	0
YJL209W	0	-1	0	0	0
YOR371C	1	1	0	0	0
YLR071C	0	0	1	0	0
YBL050W	1	1	0	0	0
YHL001W	-1	-1	1	0	1
YKL145W	1	1	1	0	0
YIL015W	1	1	0	0	0
YIL047C	-1	-1	1	0	0
YOR061W	-1	-1	0	0	0
YJL128C	1	1	0	0	0
YPL228W	1	1	1	0	0
YML036W	-1	-1	1	0	0
YKL114C	-1	-1	0	0	0
YCR105W	0	0	0	0	0
YDR248C	-1	-1	0	0	0
YPL199C	-1	-1	1	0	1
YNL136W	0	0	0	0	0
YLL045C	-1	-1	1	0	1
YNL264C	1	1	-1	0	-1
YBR028C	-1	-1	0	0	0
YBR063C	-1	-1	0	0	0
YPR060C	-1	-1	1	0	1
YKR067W	1	1	-1	0	-1
YMR093W	-1	-1	1	0	1
YHR136C	1	1	1	0	1
YBR078W	-1	-1	0	0	0
YCL054W	-1	-1	1	0	1
YCR016W	-1	-1	0	0	0
YBR211C	0	1	0	0	0
YOR076C	0	0	0	0	0
YLR067C	-1	-1	0	0	0
YOL140W	-1	-1	0	0	0
YOR266W	0	1	0	0	0
YGR249W	-1	-1	-1	0	0
YLR456W	0	1	1	0	1
YKR023W	0	1	1	0	0
YGL006W	1	1	-1	0	-1
YEL019C	0	0	0	0	0
YOR223W	1	1	0	0	0
YNL164C	-1	-1	1	0	1
YDR293C	1	1	-1	0	-1
YHR144C	-1	-1	1	0	1
YPL195W	1	1	1	0	0
YML124C	1	1	1	0	0
YNL184C	0	0	-1	0	0
YMR173W	1	0	-1	0	-1
YDR366C	1	1	0	0	0
YLR385C	0	-1	0	0	0
YDR430C	-1	-1	-1	0	0
YHR110W	1	0	-1	0	-1
YOR126C	0	0	0	0	0
YBR073W	-1	-1	1	0	1
YPL212C	-1	-1	1	0	1
YNL150W	0	0	0	0	0
YDR016C	-1	0	0	0	0
YOR112W	1	1	1	0	1
YKL215C	1	1	0	0	0
YPL008W	-1	-1	0	0	0
YMR022W	1	1	-1	0	0
YCR027C	1	1	0	0	0
YBR279W	0	0	0	0	0
YDL183C	-1	-1	-1	0	0
YNL278W	0	0	0	0	0
YOR206W	-1	-1	1	0	1
YBL059W	0	0	0	0	0
YPL106C	1	1	-1	0	-1
YML105C	-1	-1	1	0	0
YOR366W	0	0	0	0	0
YBR245C	-1	0	1	0	0
YIL149C	-1	-1	1	0	1
YLR047C	1	1	0	0	0
YLR143W	-1	-1	1	0	1
YLR225C	1	1	-1	0	-1
YOR300W	1	0	0	0	0
YPR029C	1	1	1	0	0
YFR017C	1	0	-1	0	-1
YFL004W	0	1	1	0	1
YDR369C	1	1	1	0	0
YLR297W	1	0	-1	0	-1
YOL111C	0	1	0	0	0
YGL090W	-1	0	0	0	0
YML076C	1	1	0	0	0
YGL010W	1	0	-1	0	-1
YNL333W	0	1	0	0	0
YHL031C	1	1	0	0	0
YPL060W	1	1	1	0	0
YJR132W	-1	0	1	0	1
YLR016C	-1	-1	0	0	0
YML018C	-1	-1	0	0	0
YAL027W	0	0	0	0	0
YOL116W	0	0	0	0	0
YNL157W	1	1	0	0	0
YGR283C	-1	-1	1	0	1
YLR034C	1	1	-1	0	0
YKR091W	1	1	0	0	0
YLR036C	-1	-1	0	0	0
YLR292C	1	1	0	0	0
YDL198C	0	1	1	0	1
YMR283C	0	0	1	0	0
YDR266C	1	1	0	0	0
YAL012W	-1	-1	0	0	0
YOL060C	1	1	-1	0	-1
YML062C	0	0	0	0	0
YLL027W	0	0	0	0	0
YDR421W	0	0	0	0	0
YER039C-A	1	1	0	0	-1
YJL148W	-1	-1	1	0	1
YLR421C	1	1	0	0	0
YLR273C	1	1	0	0	0
YGR065C	-1	-1	1	0	1
YDR119W-A	1	0	-1	0	-1
YDR429C	-1	-1	1	0	1
YOR244W	1	1	0	0	0
YDL195W	1	0	-1	0	-1
YDR007W	0	-1	-1	0	0
YML130C	1	1	-1	0	-1
YLR440C	0	1	1	0	1
YML116W	-1	-1	0	0	0
YHR058C	-1	-1	0	0	0
YPL109C	1	1	-1	0	0
YPL204W	0	0	0	0	0
YOR047C	-1	-1	-1	0	0
YPR183W	1	0	-1	0	0
YMR288W	-1	-1	0	0	0
YOL017W	-1	-1	1	0	1
YPL230W	1	0	-1	0	-1
YER039C	1	1	0	0	0
YDR348C	1	1	0	0	0
YJR111C	0	1	0	0	0
YEL020W-A	-1	-1	0	0	0
YBR125C	1	1	1	0	0
YLR179C	-1	-1	0	0	0
YJL205C	1	0	0	0	0
YDR061W	1	1	0	0	0
YAR068W	-1	-1	0	0	0
YFL025C	0	0	-1	0	0
YHR143W-A	-1	-1	0	0	0
YER184C	0	0	0	0	0
YGR015C	1	1	0	0	0
YER060W-A	-1	-1	0	0	0
YDR075W	-1	0	1	0	1
YPR107C	1	1	0	0	0
YDL233W	1	1	0	0	0
YJL177W	-1	-1	1	0	1
YDL223C	1	0	-1	0	-1
YDR156W	-1	-1	0	0	0
YBL081W	-1	-1	0	0	0
YDR167W	-1	-1	0	0	0
YOR380W	1	1	0	0	0
YNR051C	1	1	1	0	0
YBR285W	1	1	-1	0	0
YDL120W	1	1	0	0	0
YPL146C	-1	-1	1	0	0
YOR309C	-1	-1	1	0	1
YAL044C	-1	0	1	0	1
YNL046W	1	1	0	0	0
YKL181W	-1	-1	1	0	1
YEL058W	0	1	1	0	1
YNL325C	1	1	0	0	0
YLR369W	0	0	0	0	0
YJL196C	0	0	0	0	0
YMR027W	1	1	0	0	0
YML059C	1	1	-1	0	0
YNL250W	-1	0	1	0	0
YHR216W	-1	-1	0	0	0
YMR169C	1	1	-1	0	-1
YGL223C	1	1	0	0	0
YBR260C	1	1	0	0	0
YHR168W	-1	0	0	0	0
YDR242W	1	1	0	0	0
YPR102C	-1	-1	1	0	1
YGL175C	0	1	0	0	0
YHR107C	0	0	1	0	0
YLR050C	-1	-1	0	0	0
YMR306W	1	0	0	0	0
YGL128C	1	1	0	0	0
YLR250W	1	1	0	0	0
YPR048W	-1	-1	1	0	1
YNR029C	-1	0	1	0	0
YHR209W	1	1	0	0	0
YKR017C	1	0	-1	0	0
YDR422C	0	0	-1	0	0
YDR110W	-1	-1	1	0	0
YIL035C	0	0	1	0	1
YER126C	-1	-1	0	0	0
YDR004W	1	1	1	0	0
YGR193C	1	1	0	0	0
YLR439W	-1	-1	0	0	0
YKL001C	1	1	1	0	1
YKL078W	-1	-1	0	0	0
YKL091C	1	1	-1	0	-1
YNL106C	1	1	0	0	0
YGL133W	-1	-1	1	0	0
YNL204C	-1	-1	0	0	0
YIL111W	1	1	-1	0	-1
YHL027W	1	1	-1	0	0
YAL043C	1	1	0	0	0
YML009W-B	-1	-1	0	0	0
YEL075W-A	1	0	0	0	0
YJR022W	1	1	0	0	0
YDL193W	1	1	-1	0	0
YEL070W	1	1	0	0	0
YHR204W	-1	-1	1	0	1
YLR313C	0	0	0	0	0
YOL163W	1	1	0	0	0
YBL013W	1	0	0	0	0
YLR371W	1	1	0	0	0
YGL236C	-1	-1	0	0	0
YJR015W	-1	-1	0	0	0
YLR057W	-1	-1	1	0	0
YPR053C	0	0	0	0	0
YJL141C	1	1	-1	0	-1
YMR213W	-1	-1	0	0	0
YOR304W	-1	-1	1	0	0
YFL051C	-1	-1	1	0	1
YBR196C-A	1	1	0	0	0
YKL187C	1	0	-1	0	-1
YMR131C	-1	-1	1	0	1
YMR252C	1	1	-1	0	-1
YGL002W	-1	-1	0	0	0
YBL091C-A	1	1	-1	0	0
YGR274C	-1	-1	0	0	0
YDR202C	1	0	-1	0	-1
YDR525W-A	1	1	0	0	0
YML034W	0	-1	-1	0	-1
YDR535C	1	0	0	0	0
YOR289W	1	1	-1	0	-1
YCL025C	-1	1	1	0	1
YAL051W	1	1	0	0	0
YHR088W	-1	-1	1	0	1
YDR392W	1	1	0	0	0
YCR075C	1	1	0	0	0
YDL044C	-1	0	1	0	0
YBR213W	-1	-1	0	0	0
YHR037W	1	1	-1	0	0
YPL219W	1	1	-1	0	0
YGL039W	0	0	0	0	0
YDL013W	-1	-1	1	0	0
YDR178W	1	0	-1	0	-1
YDL063C	-1	-1	0	0	0
YHL021C	1	1	-1	0	-1
YPL234C	0	0	0	0	0
YJL109C	-1	-1	1	0	1
YPL236C	1	1	0	0	0
YLL058W	1	1	0	0	0
YDR435C	1	1	-1	0	-1
YHR111W	-1	-1	1	0	0
YJR001W	1	0	-1	0	-1
YDR022C	1	1	0	0	0
YNL170W	0	0	0	0	0
YJR125C	1	1	0	0	0
YKL072W	-1	0	1	0	1
YLR070C	1	0	-1	0	0
YBR183W	1	0	-1	-1	-1
YER026C	1	0	-1	0	-1
YDR073W	-1	-1	0	0	0
YHR214W-A	0	0	0	0	0
YHR030C	1	1	0	0	0
YDL017W	-1	-1	0	0	0
YML051W	0	1	0	0	0
YBR172C	-1	0	1	0	0
YMR231W	1	1	0	0	0
YDR076W	-1	-1	0	0	0
YKL165C	1	1	-1	0	0
YKL073W	1	1	0	0	0
YDL160C-A	-1	0	0	0	0
YDR210W	1	1	1	0	0
YMR034C	1	0	-1	0	0
YNL024C	-1	-1	0	0	0
YNR024W	-1	-1	0	0	0
YKL085W	1	1	-1	0	-1
YLR139C	-1	-1	0	0	0
YOR006C	-1	-1	0	0	0
YKL192C	1	0	-1	0	-1
YLR107W	-1	-1	0	0	0
YFL021C-A	0	0	0	0	0
YCR026C	1	1	0	0	0
YCR044C	1	1	-1	0	0
YMR172W	-1	-1	0	0	0
YGL139W	-1	-1	0	0	0
YDL132W	1	1	0	0	0
YGL049C	0	-1	0	0	0
YOR348C	1	1	-1	0	0
YIR019C	0	0	-1	0	0
YLR083C	-1	-1	1	0	0
YNL160W	1	1	-1	-1	-1
YDR139C	-1	-1	0	0	0
YNR016C	-1	0	0	0	0
YLR064W	1	0	0	0	0
YER174C	-1	-1	0	0	0
YBR236C	0	0	1	0	0
YDL043C	-1	-1	0	0	0
YFR031C	-1	-1	1	0	0
YGL231C	-1	0	1	0	0
YOR149C	-1	-1	0	0	0
YOR195W	-1	-1	1	0	1
YGR048W	1	1	0	0	0
YNR035C	1	1	0	0	0
YNR061C	1	1	-1	0	0
YBR148W	1	0	-1	0	0
YBR164C	-1	-1	1	0	1
YGR140W	-1	-1	1	0	0
YGL126W	1	1	0	0	0
YDR320C-A	0	0	0	0	0
YGR088W	1	0	-1	0	-1
YCR047C	-1	-1	1	0	1
YCR067C	1	1	0	0	0
YHR005C	0	0	0	0	0
YCL050C	1	1	-1	0	-1
YDR333C	0	1	1	0	1
YMR236W	0	0	0	0	0
YGL047W	1	1	0	0	0
YKL043W	1	1	0	0	0
YLR321C	-1	-1	1	0	0
YGL172W	1	0	0	0	0
YER112W	-1	0	1	0	1
YOL001W	1	1	0	0	0
YKR065C	0	1	0	0	0
YPR158W	1	1	0	0	0
YJL094C	1	1	0	0	0
YMR038C	-1	-1	0	0	0
YMR062C	1	1	1	0	0
YNL274C	1	1	-1	0	-1
YJL126W	0	0	0	0	0
YJR097W	-1	-1	0	0	0
YPR097W	-1	-1	0	0	0
YJR070C	-1	-1	1	0	1
YDL179W	0	0	0	0	0
YGR191W	-1	-1	-1	0	-1
YKR075C	-1	-1	1	0	0
YMR052C-A	1	0	0	0	0
YMR234W	-1	-1	0	0	0
YGL197W	1	1	-1	0	-1
YPL011C	1	0	-1	0	0
YHR194W	1	1	-1	0	-1
YFR033C	0	-1	0	0	0
YMR269W	-1	-1	0	0	0
YDR122W	1	1	-1	0	-1
YMR239C	-1	-1	1	0	0
YBR269C	1	1	-1	0	-1
YLR451W	0	-1	0	0	0
YBL071W-A	-1	-1	1	0	1
YFL017W-A	-1	0	0	0	0
YHR089C	-1	-1	1	0	1
YGR135W	1	1	0	0	0
YOR062C	-1	-1	0	0	0
YCL017C	-1	-1	-1	0	0
YPR201W	1	1	0	0	0
YPR081C	1	1	0	0	0
YDR498C	0	0	0	0	0
YLR147C	-1	-1	0	0	0
YDL224C	0	0	0	0	0
YJR090C	1	1	0	0	0
YJL124C	-1	-1	1	0	0
YNL169C	1	1	-1	0	0
YDR216W	1	1	-1	0	-1
YGR161W-C	0	0	0	0	0
YNL083W	-1	-1	-1	0	0
YDL205C	0	-1	-1	0	0
YKL106W	-1	-1	0	0	0
YDL061C	-1	-1	0	0	0
YJL053W	1	1	0	0	0
YDR372C	1	1	1	0	0
YGR173W	-1	-1	1	0	0
YBR016W	1	1	-1	0	0
YBL056W	1	1	-1	0	-1
YIL087C	1	1	-1	0	-1
YLR208W	0	0	0	0	0
YHR071W	1	1	0	0	0
YMR056C	0	0	0	0	0
YPR140W	1	1	0	0	0
YBL036C	0	0	1	0	0
YPL203W	1	1	-1	0	-1
YNL247W	-1	-1	1	0	1
YIL041W	1	1	0	0	0
YLR149C	1	1	-1	0	-1
YDR132C	1	1	1	0	1
YBR015C	1	0	-1	0	-1
YPL214C	0	1	0	0	0
YHR084W	-1	-1	1	0	0
YFR025C	1	1	0	0	0
YGL245W	-1	-1	0	0	0
YDR464W	-1	-1	1	0	0
YPL231W	-1	-1	1	0	1
YKR098C	1	0	-1	0	-1
YBR037C	1	1	-1	0	0
YPR091C	1	0	-1	0	-1
YDR466W	0	-1	-1	0	-1
YGL008C	-1	-1	1	0	1
YOR363C	-1	-1	0	0	0
YDR341C	-1	-1	0	0	0
YPR055W	1	1	0	0	0
YKL012W	-1	-1	0	0	0
YGR295C	1	1	-1	0	-1
YPL117C	-1	-1	1	0	1
YBL066C	0	-1	0	0	0
YPL120W	-1	0	1	0	0
YMR153W	-1	-1	1	0	1
YGR267C	0	1	1	0	0
YHL047C	-1	-1	0	0	0
YHR193C	-1	-1	0	0	0
YNL132W	-1	-1	1	0	1
YDR444W	-1	-1	0	0	0
YJL063C	0	-1	-1	0	0
YPL083C	-1	-1	1	0	0
YER027C	1	1	-1	0	-1
YJL115W	-1	-1	0	0	0
YLR136C	0	0	0	0	0
YMR138W	-1	-1	0	0	0
YPR041W	-1	-1	1	0	1
YLR411W	-1	-1	0	0	0
YIR010W	-1	-1	1	0	0
YPL082C	-1	-1	1	0	0
YOR147W	1	1	0	0	0
YGL101W	0	1	1	0	1
YGL053W	0	0	0	0	0
YGL026C	1	1	0	0	0
YKL042W	-1	0	1	0	0
YHR081W	-1	-1	1	0	0
YLR354C	1	1	-1	0	0
YPL124W	0	0	0	0	0
YJR089W	-1	-1	0	0	0
YGR241C	1	1	-1	0	0
YMR041C	1	1	0	0	0
YOL093W	-1	-1	1	0	0
YNL309W	0	0	0	0	0
YJL035C	-1	-1	-1	0	0
YBR185C	0	0	-1	0	0
YHR183W	-1	0	1	0	0
YLR128W	0	0	0	0	0
YDR315C	1	1	1	0	1
YHR199C	1	1	0	0	0
YEL053W-A	-1	-1	0	0	0
YDR005C	1	1	-1	0	-1
YBR129C	1	1	1	0	0
YJR107W	1	1	0	0	0
YLR422W	1	0	-1	0	-1
YDR098C	1	1	1	0	1
YGL095C	1	1	1	0	0
YPL232W	0	0	0	0	0
YJL155C	1	1	-1	0	-1
YHR129C	-1	-1	0	0	0
YNR010W	0	1	0	0	0
YJL004C	1	1	0	0	0
YPR188C	0	1	0	0	0
YBR160W	0	0	0	0	0
YNL141W	-1	-1	-1	0	-1
YMR217W	-1	-1	0	0	0
YJL107C	-1	-1	-1	0	-1
YDL192W	-1	-1	0	0	0
YIR035C	-1	-1	0	0	0
YPR179C	0	0	1	0	0
YPR127W	1	1	0	0	0
YHL011C	-1	-1	1	0	1
YPL243W	-1	0	1	0	0
YDR541C	1	1	0	0	0
YKL011C	-1	-1	0	0	0
YBR007C	0	-1	0	0	0
YNL016W	-1	-1	0	0	0
YJL011C	-1	-1	1	0	0
YNL316C	0	0	0	0	0
YNR003C	-1	-1	0	0	0
YDR183C-A	-1	-1	1	0	0
YOR028C	1	1	-1	0	-1
YBR186W	1	1	0	0	0
YOR080W	-1	-1	1	0	0
YKR066C	1	-1	-1	0	-1
YER036C	-1	-1	0	0	0
YPL119C	1	0	0	0	0
YLR326W	1	1	-1	0	0
YOL081W	1	-1	-1	0	-1
YOR148C	0	-1	0	0	0
YGR141W	-1	-1	0	0	0
YEL056W	0	1	1	0	1
YBR296C	-1	0	1	0	1
YER140W	-1	-1	0	0	0
YPL206C	1	1	-1	0	-1
YGL205W	1	1	0	0	0
YIL145C	-1	-1	1	0	1
YGR189C	-1	-1	1	0	1
YMR132C	-1	-1	1	0	0
YPL268W	1	1	0	0	0
YKL077W	-1	-1	0	0	0
YGR185C	-1	-1	1	0	1
YIR036C	1	1	0	0	0
YGR169C-A	0	0	0	0	0
YDR318W	-1	-1	0	0	0
YHR218W	0	-1	-1	0	-1
YHR114W	0	0	0	0	0
YDR054C	1	0	0	0	0
YJL013C	1	1	0	0	0
YOR138C	1	1	0	0	0
YJR123W	-1	-1	1	0	1
YLR310C	0	1	1	0	0
YNL282W	-1	-1	0	0	1
YDL149W	1	1	0	0	0
YMR146C	-1	-1	1	0	1
YBR046C	1	1	-1	0	-1
YNR032C-A	-1	-1	-1	0	0
YBR268W	-1	0	0	0	0
YIL148W	-1	-1	0	0	0
YAL044W-A	0	0	0	0	0
YJL102W	1	1	0	0	0
YOL023W	-1	-1	0	0	0
YBR201C-A	0	0	0	0	0
YGR201C	1	-1	-1	0	-1
YHR039C-A	0	0	0	0	0
YPL194W	0	0	1	0	0
YOL108C	1	1	0	0	0
YNL095C	-1	-1	0	0	0
YCR013C	1	1	0	0	0
YNL308C	-1	-1	1	0	0
YNL287W	1	1	0	0	0
YGR177C	-1	-1	1	0	1
YOL086C	1	1	-1	0	0
YMR247C	0	0	0	0	0
YJR148W	-1	-1	1	0	1
YJL065C	-1	-1	0	0	0
YGL143C	-1	-1	0	0	0
YLR154C	-1	-1	0	0	0
YFL001W	-1	-1	1	0	1
YMR230W	-1	-1	1	0	1
YGR056W	0	0	0	0	0
YDR353W	-1	-1	-1	0	-1
YKL044W	0	0	0	0	0
YLR199C	1	1	0	0	0
YHR011W	1	1	0	0	0
YMR128W	-1	-1	1	0	0
YLR396C	1	1	1	0	1
YMR040W	1	1	-1	0	-1
YGL238W	0	1	0	0	0
YGL240W	1	1	0	0	0
YPL016W	0	1	1	0	1
YJR122W	1	1	0	0	0
YER074W	-1	-1	1	0	1
YER120W	-1	-1	0	0	0
YNL084C	1	1	0	0	0
YBR083W	0	1	1	0	1
YBR112C	-1	-1	1	0	0
YLR402W	0	0	0	0	0
YBR066C	-1	-1	0	0	0
