ORF	SGD	GENENAME	EtOHvsMOCK.WT	EtOHvsMOCK.MSN24dd	EtOH.MSN24ddvsWT	MOCK.MSN24ddvsWT	EtOHvsWT.MSN24ddvsWT	AveExpr	F	P.Value	adj.P.Val
YER103W	S000000905	SSA4	7.77	7.12	-0.797	-0.152	-0.645	7.81	3410	3.36e-30	0
YDR516C	S000002924	EMI2	7.03	3.03	-4.71	-0.71	-4	6.13	2660	5.53e-29	0
YCL040W	S000000545	GLK1	8.51	6.83	-2.08	-0.397	-1.68	8.06	2600	7.11e-29	0
YMR105C	S000004711	PGM2	7.62	0.792	-6.97	-0.141	-6.83	6.08	2200	4.59e-28	0
YLL039C	S000003962	UBI4	5.75	3.84	-2.13	-0.228	-1.91	7.23	2070	9.49e-28	0
YJL052W	S000003588	TDH1	10	9.03	-1.21	-0.221	-0.988	8.83	2000	1.3700000000000001e-27	0
YOR317W	S000005844	FAA1	5.36	4.62	-0.979	-0.243	-0.736	7.06	1960	1.68e-27	0
YBL039C	S000000135	URA7	-6.93	-5.47	1.42	-0.0353	1.46	6.17	1940	1.9100000000000003e-27	0
YGL037C	S000003005	PNC1	6.1	3.85	-2.86	-0.604	-2.25	6.6	1920	2.17e-27	0
YHR104W	S000001146	GRE3	4.94	2.52	-2.57	-0.143	-2.42	6.99	1910	2.3100000000000002e-27	0
YGR254W	S000003486	ENO1	7.83	7.59	-0.725	-0.485	-0.24	10.6	1850	3.3200000000000005e-27	0
YBR126C	S000000330	TPS1	5.36	1.91	-3.65	-0.198	-3.45	7.99	1790	4.8400000000000004e-27	0
YPL012W	S000005933	RRP12	-5.12	-4.32	0.814	0.00468	0.809	6.77	1760	5.770000000000001e-27	0
YDR399W	S000002807	HPT1	-5.12	-5.46	-0.422	-0.0824	-0.339	6.27	1700	8.750000000000001e-27	0
YHR170W	S000001213	NMD3	-4.26	-3.54	0.687	-0.0339	0.721	6.27	1680	1.01e-26	0
YLR258W	S000004248	GSY2	7.54	2.7	-5.23	-0.388	-4.85	5.01	1630	1.42e-26	0
YGR159C	S000003391	NSR1	-6.88	-5.98	0.761	-0.14	0.901	7.21	1610	1.63e-26	0
YMR196W	S000004809	NA	7.36	2.2	-4.95	0.209	-5.16	5.42	1600	1.6500000000000002e-26	0
YLL026W	S000003949	HSP104	5.7	3.66	-1.49	0.545	-2.04	7.84	1570	2.08e-26	0
YML100W	S000004566	TSL1	7.79	0.658	-7.51	-0.372	-7.14	5.91	1560	2.31e-26	0
YMR145C	S000004753	NDE1	-3.13	-4.7	-1.64	-0.0706	-1.57	8.15	1460	4.7100000000000004e-26	0
YFR053C	S000001949	HXK1	9.11	1.48	-8.61	-0.979	-7.63	4.07	1460	4.9200000000000004e-26	0
YJL034W	S000003571	KAR2	3.58	3.14	-0.238	0.198	-0.436	11.5	1440	5.430000000000001e-26	0
YDR101C	S000002508	ARX1	-4.35	-3.41	0.841	-0.104	0.946	6.77	1410	6.98e-26	0
YDR234W	S000002642	LYS4	-4.26	-3.41	0.693	-0.159	0.852	6.16	1400	7.62e-26	0
YCR005C	S000000598	CIT2	5.49	5.54	0.224	0.168	0.0559	6.56	1370	9.98e-26	0
YHR137W	S000001179	ARO9	4.14	4.89	0.652	-0.0973	0.749	6.53	1360	1.03e-25	0
YMR229C	S000004842	RRP5	-3.7	-3.09	0.618	0.00362	0.614	7.51	1350	1.12e-25	0
YKL035W	S000001518	UGP1	4.45	0.613	-3.95	-0.114	-3.83	9.33	1320	1.44e-25	0
YMR131C	S000004738	RRB1	-3.79	-3.15	0.569	-0.0731	0.642	6.71	1310	1.63e-25	0
YGR103W	S000003335	NOP7	-5.68	-5.79	-0.0867	0.0246	-0.111	5.74	1290	1.92e-25	0
YLR056W	S000004046	ERG3	-3.98	-3.54	0.364	-0.0754	0.44	8.22	1280	2.05e-25	0
YGR008C	S000003240	STF2	7.23	2.03	-6.12	-0.923	-5.2	3.59	1260	2.57e-25	0
YGL055W	S000003023	OLE1	-4.26	-3.85	0.338	-0.0711	0.409	8.75	1230	3.4e-25	0
YKL151C	S000001634	NNR2	5.98	3.73	-2.26	-0.0148	-2.25	5.57	1210	3.9e-25	0
YDR074W	S000002481	TPS2	4.29	1.96	-2.4	-0.0718	-2.33	7.4	1200	4.36e-25	0
YER053C	S000000855	PIC2	6.7	1.75	-5.1	-0.151	-4.95	4.63	1190	4.67e-25	0
YOR341W	S000005868	RPA190	-3.46	-2.8	0.658	-0.00461	0.662	8.19	1190	4.85e-25	0
YHR089C	S000001131	GAR1	-3.39	-2.69	0.598	-0.109	0.707	7.26	1170	5.55e-25	0
YLR196W	S000004186	PWP1	-4.06	-3.31	0.774	0.0233	0.751	5.95	1170	5.6e-25	0
YDR400W	S000002808	URH1	3.35	3.27	-0.176	-0.0981	-0.0783	7.35	1160	6.05e-25	0
YDR518W	S000002926	EUG1	2.86	2.81	-0.0505	0.00438	-0.0549	6.65	1140	8.04e-25	0
YPR010C	S000006214	RPA135	-3.85	-2.98	0.852	-0.0275	0.879	8.02	1120	9.02e-25	0
YER110C	S000000912	KAP123	-4.83	-4.52	0.218	-0.0903	0.308	7.97	1120	9.87e-25	0
YNL112W	S000005056	DBP2	-6.47	-6.76	-0.41	-0.116	-0.294	6.27	1100	1.13e-24	0
YER056C	S000000858	FCY2	-5.19	-4.42	0.74	-0.021	0.761	7.45	1090	1.25e-24	0
YLR413W	S000004405	INA1	-7.47	-7.02	0.443	-0.0069	0.45	5.98	1090	1.26e-24	0
YOL077C	S000005437	BRX1	-5.27	-4.49	0.729	-0.053	0.782	5.56	1070	1.65e-24	0
YPR036W-A	S000028425	SPO24	5.38	5.24	0.0158	0.155	-0.14	6.02	1060	1.69e-24	0
YEL071W	S000000797	DLD3	2.45	3.16	0.566	-0.14	0.707	9.33	1060	1.7599999999999998e-24	0
YKL191W	S000001674	DPH2	-4.39	-4.02	0.267	-0.106	0.373	5.52	1050	1.93e-24	0
YOR145C	S000005671	PNO1	-4.5	-4.26	0.182	-0.0505	0.233	5.48	1050	1.96e-24	0
YOR288C	S000005814	MPD1	3.16	2.81	-0.534	-0.18	-0.354	6.19	1050	1.98e-24	0
YJL050W	S000003586	MTR4	-4.6	-3.29	1.33	0.0225	1.31	5.96	1040	2.09e-24	0
YDR001C	S000002408	NTH1	3.66	0.775	-3.05	-0.168	-2.89	6.09	1040	2.1699999999999997e-24	0
YBR092C	S000000296	PHO3	-4.02	-3.9	-0.044	-0.165	0.122	6.43	1040	2.19e-24	0
YAL036C	S000000034	RBG1	-3.26	-2.49	0.725	-0.0384	0.763	6.11	1030	2.38e-24	0
YOR272W	S000005798	YTM1	-4.5	-3.82	0.592	-0.0867	0.679	5.63	1020	2.75e-24	0
YER036C	S000000838	ARB1	-2.6	-2.61	-0.0829	-0.0756	-0.00729	8.81	1000	3.31e-24	0
YER062C	S000000864	GPP2	5.59	4.16	-1.74	-0.305	-1.43	5.31	993	3.66e-24	0
YPL211W	S000006132	NIP7	-4.37	-3.35	0.88	-0.139	1.02	5.33	984	4.01e-24	0
YBR034C	S000000238	HMT1	-2.78	-2.62	0.0497	-0.112	0.162	6.8	984	4.0399999999999996e-24	0
YPR112C	S000006316	MRD1	-6.13	-5.35	0.89	0.115	0.775	4.02	975	4.48e-24	0
YMR290C	S000004903	HAS1	-4.22	-3.81	0.367	-0.0426	0.409	6.47	974	4.51e-24	0
YML130C	S000004599	ERO1	3.17	2.35	-0.719	0.0973	-0.817	8.13	964	5.09e-24	0
YJR070C	S000003831	LIA1	-4.5	-3.57	0.854	-0.0812	0.935	6.54	955	5.6399999999999995e-24	0
YNL036W	S000004981	NCE103	4.69	4.78	-0.279	-0.369	0.0903	7.1	942	6.61e-24	0
YHL021C	S000001013	AIM17	4.96	0.765	-4.73	-0.537	-4.19	4.94	942	6.62e-24	0
YGL256W	S000003225	ADH4	2.28	3.02	0.595	-0.139	0.734	7.5	941	6.66e-24	0
YKR092C	S000001800	SRP40	-4.32	-3.5	0.851	0.036	0.815	5.96	940	6.75e-24	0
YER006W	S000000808	NUG1	-4.39	-4.08	0.266	-0.0428	0.309	5.85	938	6.94e-24	0
YOR101W	S000005627	RAS1	-3.4	-3.69	-0.307	-0.0132	-0.293	5.22	925	8.079999999999999e-24	0
YNL061W	S000005005	NOP2	-3.98	-3.3	0.704	0.0254	0.678	6.25	918	8.76e-24	0
YGL062W	S000003030	PYC1	2.91	3.72	0.58	-0.228	0.808	8.62	915	9.17e-24	0
YDR361C	S000002769	BCP1	-4.12	-3.71	0.317	-0.092	0.409	4.83	909	9.809999999999999e-24	0
YKL216W	S000001699	URA1	-4.57	-3.92	0.605	-0.0414	0.646	5.15	897	1.1399999999999999e-23	0
YDL124W	S000002282	NA	6.06	3.19	-3.23	-0.365	-2.87	4.95	892	1.2199999999999999e-23	0
YNL132W	S000005076	KRE33	-4.54	-3.57	0.949	-0.015	0.964	6.08	884	1.35e-23	0
YBR139W	S000000343	NA	4.54	2.92	-1.65	-0.0267	-1.62	6.13	884	1.35e-23	0
YPL093W	S000006014	NOG1	-3.94	-3.26	0.627	-0.0553	0.682	7.27	882	1.3799999999999998e-23	0
YBR072W	S000000276	HSP26	8.88	3.93	-4.23	0.715	-4.95	3.88	882	1.3799999999999998e-23	0
YBR214W	S000000418	SDS24	6.66	4.39	-2.08	0.196	-2.27	5.54	877	1.48e-23	0
YPL126W	S000006047	NAN1	-3.72	-3.56	0.156	-0.00387	0.16	6.63	874	1.5199999999999998e-23	0
YPL265W	S000006186	DIP5	2.73	2.82	0.279	0.187	0.0919	9.13	873	1.54e-23	0
YER067W	S000000869	RGI1	9.94	3.5	-6.75	-0.307	-6.44	4.12	865	1.7199999999999998e-23	0
YDR120C	S000002527	TRM1	-4.53	-3.5	1	-0.0171	1.02	5.18	862	1.79e-23	0
YBR145W	S000000349	ADH5	7.6	6.64	-0.997	-0.038	-0.959	6.47	861	1.8e-23	0
YJL200C	S000003736	ACO2	-3.92	-2.85	0.912	-0.157	1.07	6.24	858	1.88e-23	0
YDL031W	S000002189	DBP10	-3.81	-3.16	0.704	0.0599	0.644	5.8	856	1.93e-23	0
YGR255C	S000003487	COQ6	3.14	2.39	-0.876	-0.12	-0.756	6.12	851	2.06e-23	0
YDR398W	S000002806	UTP5	-3.55	-3.17	0.349	-0.0333	0.382	5.96	851	2.06e-23	0
YML128C	S000004597	MSC1	4.64	2.25	-2.51	-0.117	-2.39	4.2	845	2.2299999999999998e-23	0
YIL053W	S000001315	GPP1	2.74	2.9	-0.0905	-0.246	0.155	10.8	841	2.3599999999999998e-23	0
YCL018W	S000000523	LEU2	3.13	3.41	0.0967	-0.181	0.277	9.01	840	2.38e-23	0
YLR216C	S000004206	CPR6	2.78	1.97	-0.45	0.361	-0.81	8.7	829	2.7699999999999996e-23	0
YLR197W	S000004187	NOP56	-3.31	-2.59	0.716	-0.00548	0.722	8.1	823	3.0099999999999995e-23	0
YKL150W	S000001633	MCR1	3.33	0.391	-3.13	-0.199	-2.93	7.61	814	3.38e-23	0
YOR227W	S000005753	HER1	2.85	2.12	-0.629	0.107	-0.736	6.32	802	4.0199999999999993e-23	0
YGR145W	S000003377	ENP2	-6.3	-5.5	0.874	0.0716	0.803	4.05	797	4.3199999999999995e-23	0
YGR060W	S000003292	ERG25	-2.99	-2.24	0.737	-0.0126	0.75	8.79	796	4.3399999999999996e-23	0
YHL011C	S000001003	PRS3	-2.73	-2.23	0.409	-0.0937	0.503	7	793	4.5399999999999993e-23	0
YMR049C	S000004652	ERB1	-4.2	-3.11	1.04	-0.0524	1.09	6.44	789	4.78e-23	0
YPR144C	S000006348	NOC4	-3.21	-2.45	0.712	-0.0502	0.762	6.04	789	4.8399999999999995e-23	0
YJR073C	S000003834	OPI3	4.58	3.59	-1.21	-0.218	-0.99	6.26	788	4.8699999999999997e-23	0
YDR496C	S000002904	PUF6	-3.75	-2.9	0.937	0.0873	0.849	6.17	777	5.689999999999999e-23	0
YER049W	S000000851	TPA1	-2.43	-2.05	0.382	-0.00491	0.387	7.22	775	5.92e-23	0
YGL120C	S000003088	PRP43	-3.11	-2.59	0.51	-0.00734	0.517	6.66	772	6.099999999999999e-23	0
YIL107C	S000001369	PFK26	4.26	3.38	-0.835	0.0414	-0.877	5.12	771	6.25e-23	0
YNR012W	S000005295	URK1	-3.69	-3.48	0.0693	-0.14	0.209	4.47	766	6.68e-23	0
YNL313C	S000005257	EMW1	-3.04	-2.43	0.601	-0.0175	0.619	6.25	765	6.83e-23	0
YOR095C	S000005621	RKI1	-4.8	-4.41	0.273	-0.119	0.392	5	764	6.879999999999999e-23	0
YML054C	S000004518	CYB2	4.7	1.9	-3.29	-0.488	-2.8	4.32	759	7.379999999999999e-23	0
YBR247C	S000000451	ENP1	-4.44	-3.72	0.665	-0.0503	0.715	5.31	750	8.459999999999999e-23	0
YHR197W	S000001240	RIX1	-4.51	-3.47	1.02	-0.0273	1.04	5.51	748	8.74e-23	0
YNL141W	S000005085	AAH1	-8.27	-9.03	-0.893	-0.133	-0.76	3.87	738	1.01e-22	0
YMR120C	S000004727	ADE17	-3.63	-3.33	0.309	0.00566	0.303	6.61	738	1.02e-22	0
YJL164C	S000003700	TPK1	4.62	3.15	-1.51	-0.0386	-1.47	4.41	734	1.07e-22	0
YBL064C	S000000160	PRX1	3.56	1.23	-2.44	-0.113	-2.32	5.59	733	1.1e-22	0
YBL004W	S000000100	UTP20	-3.12	-2.65	0.486	0.0213	0.465	7.56	732	1.1200000000000001e-22	0
YDR465C	S000002873	RMT2	-4.2	-4.5	-0.335	-0.0298	-0.305	5.1	731	1.13e-22	0
YNL175C	S000005119	NOP13	-4.84	-4.19	0.676	0.025	0.651	4.87	730	1.15e-22	0
YDR060W	S000002467	MAK21	-3.6	-2.89	0.826	0.115	0.711	6.6	728	1.19e-22	0
YNR053C	S000005336	NOG2	-3.97	-3.6	0.395	0.0292	0.366	5.74	721	1.32e-22	0
YJL109C	S000003645	UTP10	-2.57	-1.99	0.527	-0.0583	0.585	8.01	716	1.44e-22	0
YMR217W	S000004830	GUA1	-3.44	-3.38	-0.0591	-0.119	0.0596	9.32	713	1.49e-22	0
YDR011W	S000002418	SNQ2	-2.28	-2.36	-0.0681	0.00857	-0.0767	8.2	708	1.61e-22	0
YLL008W	S000003931	DRS1	-5.26	-4.34	1.15	0.235	0.919	4.91	706	1.68e-22	0
YOR310C	S000005837	NOP58	-3.16	-2.4	0.807	0.0468	0.761	7.99	704	1.73e-22	0
YBR142W	S000000346	MAK5	-4.26	-3.28	0.98	-0.00602	0.986	5.56	703	1.74e-22	0
YGR194C	S000003426	XKS1	3.84	2.72	-1.45	-0.337	-1.12	4.49	702	1.77e-22	0
YLR106C	S000004096	MDN1	-3.98	-3.03	0.948	-0.00571	0.954	7.17	693	2.0600000000000001e-22	0
YMR250W	S000004862	GAD1	6.38	1.8	-4.62	-0.0444	-4.58	4.04	691	2.11e-22	0
YHL030W	S000001022	ECM29	2.74	2.57	-0.00793	0.157	-0.165	7.43	690	2.14e-22	0
