ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YAL065C	S000001817	NA	6.93	-0.514	20.3	1.76e-4	0.00141
YBL111C	S000002151	NA	6	-0.908	2.9	0.115	0.24
YOR315W	S000005842	SFG1	4.11	5.03	399	6.46e-17	2.13e-14
YPL061W	S000005982	ALD6	3.97	9.61	81	8.57e-7	1.61e-5
YFL051C	S000001843	NA	2.96	5.76	145	5.15e-10	2.63e-8
YNL333W	S000005277	SNZ2	2.89	-0.521	4.4	0.0484	0.129
YPR201W	S000006405	ARR3	2.69	-0.952	3.81	0.0622	0.156
YLR054C	S000004044	OSW2	2.33	-0.584	5.16	0.032	0.0944
YNR076W	S000005359	PAU6	2.27	-1.01	1.24	0.281	0.453
YMR319C	S000004938	FET4	2.16	3.42	28.4	4.58e-5	4.62e-4
YBR296C	S000000500	PHO89	2.13	0.822	13	0.00134	0.00752
YDL039C	S000002197	PRM7	2.09	5.93	112	1.33e-9	6.18e-8
YIL119C	S000001381	RPI1	2.05	1.31	20.1	1.41e-4	0.00115
YER091C	S000000893	MET6	1.96	7.7	57.3	2.3e-6	3.73e-5
YER073W	S000000875	ALD5	1.92	6.37	137	7.3e-11	5.54e-9
YNL019C	S000004964	NA	1.85	-0.462	4.75	0.0389	0.109
YJR147W	S000003908	HMS2	1.72	4.55	58.7	5.36e-8	1.52e-6
YPL274W	S000006195	SAM3	1.71	6.88	68.7	1.9e-7	4.51e-6
YAL067C	S000000062	SEO1	1.71	-0.44	4.5	0.0439	0.12
YFR032C	S000001928	RRT5	1.69	-0.279	3.45	0.075	0.178
YLL062C	S000003985	MHT1	1.68	2.56	22.3	9e-5	8.13e-4
YJL089W	S000003625	SIP4	1.67	2.91	14.1	9.75e-4	0.00577
YLR267W	S000004257	BOP2	1.55	5.85	21	1.1e-4	9.56e-4
YBR083W	S000000287	TEC1	1.54	3.53	33.6	6.25e-6	8.54e-5
YLR121C	S000004111	YPS3	1.5	2.09	24.2	4.52e-5	4.59e-4
YMR016C	S000004618	SOK2	1.47	5.97	126	2.8e-11	2.21e-9
YGL009C	S000002977	LEU1	1.47	9.47	45	3.39e-6	5.09e-5
YPR002W	S000006206	PDH1	1.46	4.49	15.7	9.8e-4	0.00579
YEL046C	S000000772	GLY1	1.46	8.32	69.8	5.4e-8	1.52e-6
YOL058W	S000005419	ARG1	1.45	3.9	58.5	5.2100000000000003e-08	1.49e-6
YBL039C	S000000135	URA7	1.45	8.3	99.6	3.23e-10	1.79e-8
YBR141C	S000000345	BMT2	1.44	2.87	20.4	1.29e-4	0.00108
YAL063C	S000000059	FLO9	1.43	3.34	38.1	1.84e-6	3.1e-5
YKL120W	S000001603	OAC1	1.42	7.99	46.3	2.81e-6	4.39e-5
YOL124C	S000005484	TRM11	1.41	5.72	27.4	2.44e-5	2.75e-4
YML047W-A	S000004512	NA	1.41	-0.327	1.77	0.195	0.35
YDR317W	S000002725	HIM1	1.41	-0.529	3.7	0.0659	0.163
YPR193C	S000006397	HPA2	1.4	0.0152	3.84	0.0614	0.155
YJL152W	S000003688	NA	1.4	-0.722	1.2	0.285	0.457
YNL162W-A	S000007624	NA	1.39	1.11	5.78	0.0239	0.0763
YBR184W	S000000388	NA	1.39	1.2	11.3	0.00248	0.0125
YKL044W	S000001527	MMO1	1.39	-0.542	3.6	0.0694	0.169
YAR035W	S000000080	YAT1	1.38	0.58	4.67	0.0405	0.113
YER001W	S000000803	MNN1	1.38	6.36	27	1.14e-4	9.83e-4
YNL114C	S000005058	NA	1.37	0.265	2.28	0.144	0.283
YLR348C	S000004340	DIC1	1.37	6.09	12.9	0.00344	0.0162
YPL256C	S000006177	CLN2	1.37	5.17	66.9	1.67e-8	5.53e-7
YBL029W	S000000125	NA	1.36	2.66	17.8	2.81e-4	0.0021
YPL054W	S000005975	LEE1	1.36	-0.638	0.991	0.33	0.509
YLR180W	S000004170	SAM1	1.35	9.22	31.8	3.47e-5	3.73e-4
YGR108W	S000003340	CLB1	1.35	4.88	83.8	1.79e-9	7.99e-8
YBR292C	S000000496	NA	1.34	-0.0445	4.33	0.0479	0.128
YLL061W	S000003984	MMP1	1.33	3.72	28.8	1.55e-5	1.86e-4
YOR108W	S000005634	LEU9	1.32	8.04	70.7	2.58e-8	8.01e-7
YPR054W	S000006258	SMK1	1.3	0.134	3	0.0958	0.211
YJR154W	S000003915	NA	1.29	-0.46	2.73	0.111	0.235
YGR064W	S000003296	NA	1.29	-0.504	1.63	0.214	0.373
