ORF	SGD	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
YHR101C	S000001143	BIG1	-6.99e-5	4.32	-4.45e-4	1	1	-7.43
YPR114W	S000006318	NA	-1.24e-4	6.92	-0.00114	0.999	1	-7.86
YLR052W	S000004042	IES3	1.56e-4	4.34	9.54e-4	0.999	1	-7.49
YDR416W	S000002824	SYF1	1.89e-4	4.65	0.00143	0.999	1	-7.56
YDR244W	S000002652	PEX5	4.31e-4	4.5	0.00298	0.998	1	-7.53
YGL194C-A	S000087160	NA	-0.00176	0.326	-0.00339	0.997	1	-6.28
YER076C	S000000878	NA	-0.00122	2.01	-0.00399	0.997	1	-6.8
YBL040C	S000000136	ERD2	3.93e-4	6.83	0.00391	0.997	1	-7.84
YGL134W	S000003102	PCL10	8.4e-4	4.26	0.0057	0.996	1	-7.45
YER047C	S000000849	SAP1	-8.92e-4	5.15	-0.0072	0.994	1	-7.66
YGR133W	S000003365	PEX4	-0.00156	2.96	-0.00782	0.994	1	-7.11
YOR237W	S000005763	HES1	-0.00558	-0.744	-0.00805	0.994	1	-6.02
YDL224C	S000002383	WHI4	0.00115	6.65	0.00888	0.993	1	-7.85
YOR254C	S000005780	SEC63	-8.43e-4	8.27	-0.00926	0.993	0.99	-7.86
YDR402C	S000002810	DIT2	0.00529	0.354	0.0102	0.992	0.99	-6.29
YOL024W	S000005384	NA	0.00395	1.35	0.0102	0.992	0.99	-6.45
YLR301W	S000004292	HRI1	-8.55e-4	7.43	-0.00993	0.992	0.99	-7.86
YBL078C	S000000174	ATG8	-0.00597	1.87	-0.0107	0.992	0.99	-6.34
YPL113C	S000006034	NA	-0.00492	1.18	-0.0112	0.991	0.99	-6.42
YBR109C	S000000313	CMD1	0.0011	7.41	0.011	0.991	0.99	-7.87
YIL139C	S000001401	REV7	0.00217	4.2	0.0122	0.99	0.99	-7.43
YDR205W	S000002613	MSC2	-0.00148	6.27	-0.0125	0.99	0.99	-7.81
YIL071W-A	S000028793	NA	-0.0136	-1.29	-0.0128	0.99	0.99	-5.88
