ID	Object.Symbol	Object.Name	Phenol.HS.logFC	Phenol.HS.p.value	Phenol.HS.FDR	RNeasy.HS.logFC	RNeasy.HS.p.value	RNeasy.HS.FDR	Direct.zol.HS.logFC	Direct.zol.HS.p.value	Direct.zol.HS.FDR	DB	Object.ID	Object.Synonym	Object.Type	Taxon	GO.ID
YAL001C	TFC3	Subunit of RNA polymerase III transcription initiation factor complex	0.134845718846312	0.0561497539541122	0.0750282394060183	0.138102905952702	0.0462389027001615	0.0626552074907544	0.192713606543866	0.00818988708173523	0.0124545692149704	SGD	S000000001	YAL001C|FUN24|TSV115|tau 138|transcription factor TFIIIC subunit TFC3	protein	taxon:559292	GO:0000127|GO:0000127|GO:0000127|GO:0000127|GO:0000127|GO:0001002|GO:0001002|GO:0001003|GO:0003677|GO:0003677|GO:0005634|GO:0005634|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0006383|GO:0006383|GO:0006383|GO:0006384|GO:0008301|GO:0042791|GO:0042791|GO:0071168
YAL002W	VPS8	Membrane-binding component of the CORVET complex	0.552944572382457	1.42428997075247e-8	5.52218106229658e-8	0.598701232511206	3.45199105560695e-9	1.46093637320929e-8	0.584966943979355	6.47153946870009e-9	2.65093766093995e-8	SGD	S000000002	YAL002W|VPL8|FUN15|VPT8|CORVET complex membrane-binding subunit VPS8	protein	taxon:559292	GO:0005768|GO:0005770|GO:0005794|GO:0005795|GO:0006623|GO:0006623|GO:0006886|GO:0008270|GO:0015031|GO:0016020|GO:0016192|GO:0032511|GO:0033263|GO:0043495|GO:0046872|GO:0051020|GO:0051020|GO:0051179|GO:0098588|GO:0099023
YAL003W	EFB1	Translation elongation factor 1 beta	-0.764673028204251	2.56821169035166e-9	1.19646052558447e-8	-0.818096123223381	7.79607877795206e-10	3.99676702415534e-9	-0.857187535906517	3.36219747976836e-10	1.92359641386358e-9	SGD	S000000003	YAL003W|eEF1Balpha|EF-1beta|TEF5|translation elongation factor 1 subunit beta	protein	taxon:559292	GO:0003746|GO:0003746|GO:0003746|GO:0005085|GO:0005737|GO:0005853|GO:0005853|GO:0006412|GO:0006414|GO:0006414|GO:0006414|GO:0006414|GO:0006414|GO:0006449|GO:0006449|GO:0032232|GO:1990145
YAL005C	SSA1	ATPase involved in protein folding and NLS-directed nuclear transport	3.16466340166671	6.54806812764778e-15	2.75289566364078e-13	2.91504530137977	2.75468273660528e-14	8.3350451875634e-13	2.97212444913475	1.95698497764525e-14	6.14304910095061e-13	SGD	S000000004	YAL005C|YG100|Hsp70 family ATPase SSA1	protein	taxon:559292	GO:0000049|GO:0000166|GO:0000209|GO:0000329|GO:0002181|GO:0005524|GO:0005524|GO:0005576|GO:0005634|GO:0005634|GO:0005737|GO:0005737|GO:0005737|GO:0005737|GO:0005829|GO:0005844|GO:0005886|GO:0006457|GO:0006606|GO:0006606|GO:0006616|GO:0006626|GO:0009277|GO:0016887|GO:0016887|GO:0035617|GO:0042026|GO:0042026|GO:0043161|GO:0043161|GO:0051082|GO:0072318|GO:0072671|GO:0140662
YAL007C	ERP2	Member of the p24 family involved in ER to Golgi transport	-0.997934777223145	1.04718514939791e-8	4.18161688909234e-8	-0.858217741243733	1.19995102815765e-7	3.75865129951194e-7	-0.897139096409579	6.05915476743927e-8	2.01857199119571e-7	SGD	S000000005	YAL007C	protein	taxon:559292	GO:0003674|GO:0005783|GO:0005783|GO:0005789|GO:0006621|GO:0006888|GO:0006888|GO:0015031|GO:0016020|GO:0016192|GO:0030134
YAL008W	FUN14	Integral mitochondrial outer membrane (MOM) protein	1.36302287555545	1.35294887918543e-13	3.01969958966482e-12	1.43245425909399	3.98152944491873e-14	1.08201749267004e-12	1.50689702794071	1.68804553139652e-14	5.56675689286381e-13	SGD	S000000006	YAL008W|MCP3	protein	taxon:559292	GO:0003674|GO:0005739|GO:0005739|GO:0005739|GO:0005739|GO:0005741|GO:0005741|GO:0007005|GO:0016020|GO:0016020|GO:0055091
YAL009W	SPO7	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme	0.127080011069332	0.287536930373541	0.33542165764958	0.11709659601321	0.316848585997416	0.365075906106116	0.196694906398805	0.103966706934783	0.132584090746725	SGD	S000000007	YAL009W|Nem1-Spo7 phosphatase regulatory subunit SPO7	protein	taxon:559292	GO:0004721|GO:0004721|GO:0005634|GO:0005783|GO:0005783|GO:0005789|GO:0006629|GO:0006998|GO:0016020|GO:0016020|GO:0019888|GO:0030435|GO:0031965|GO:0061709|GO:0071071|GO:0071072|GO:0071595
YAL010C	MDM10	Subunit of both the ERMES and the SAM complex	0.310172578877548	0.00137447863396821	0.00235430101587201	0.44117144940695	1.9559415411925e-5	4.329327619457e-5	0.57803679279814	5.38702891807582e-7	1.51373191714242e-6	SGD	S000000008	YAL010C|FUN37	protein	taxon:559292	GO:0000002|GO:0001401|GO:0001401|GO:0001401|GO:0003674|GO:0005739|GO:0005741|GO:0005741|GO:0005741|GO:0005741|GO:0007005|GO:0007005|GO:0007031|GO:0015914|GO:0016020|GO:0032865|GO:0032865|GO:0032865|GO:0032865|GO:0032865|GO:0045040|GO:0045040|GO:0051654|GO:0070096|GO:0070096|GO:0070096|GO:0070096|GO:1990456|GO:1990456
YAL011W	SWC3	Protein of unknown function	-0.402555699765257	1.38410356150549e-5	3.18116206187831e-5	-0.215356998572451	0.00511300337024729	0.00804646911081812	-0.243079799024227	0.0020228430010358	0.00335437127077454	SGD	S000000009	YAL011W|SWC1	protein	taxon:559292	GO:0000812|GO:0000812|GO:0000812|GO:0003674|GO:0005634|GO:0005634|GO:0005634|GO:0005739|GO:0005739|GO:0006325|GO:0006338|GO:0006338|GO:0006338|GO:0007029|GO:0140849
YAL012W	CYS3	Cystathionine gamma-lyase	-0.781666200651159	6.40737491165775e-7	1.82579081220539e-6	-0.793656318760349	5.22677741656617e-7	1.46209895771767e-6	-0.785823748097044	5.94738350906097e-7	1.65612624279829e-6	SGD	S000000010	YAL012W|CYI1|FUN35|STR1|cystathionine gamma-lyase CYS3	protein	taxon:559292	GO:0003824|GO:0003824|GO:0004123|GO:0004123|GO:0004123|GO:0004123|GO:0005634|GO:0005737|GO:0005737|GO:0005737|GO:0005737|GO:0008652|GO:0016829|GO:0019343|GO:0019344|GO:0019344|GO:0019344|GO:0019346|GO:0019346|GO:0030170|GO:0044540|GO:0047804|GO:0080146|GO:1904828
