Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YIL170W	29.047	27.677	30.265	36.385	2	0	3.731	0	25.781	15.096	28.152	38.143	6.314	2.584	0	6
YIL175W	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
YPL276W	0	0	0	1	0	0	0	3	0	2.807	2	0	0	0	0	1
YFL056C	631.108	529.621	422.059	445.242	168.413	178.322	178.438	227.193	207.588	218.291	239.282	214.185	181.744	178.584	226.406	228.688
YCL074W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR061W	36.487	14.917	22.217	34.818	23.886	18.334	17.464	15.72	23.375	30.837	20.031	15.371	15.092	15.083	13.779	13.033
YCL075W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL275W	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	2
YBR232C	2	3.115	1	1	0	0	0	0	2	0	0.999	0	0	2	0	3
YGR014W	3242	3004	2528	2970	2602	2812	2511	2785	2102	2373	2288	1784	2883	2463	2730	2769
YPR031W	153	125	92	112	408	357	286	351	84	144	74	66	392	380	295	338
YIL003W	160	101	79	95	300	253	256	259	74	76	91	66	301	308	290	390
YBR140C	4620	3820	3192	4158	1799	2082	1785	1831	3557	3790	4323	2918	2250	2053	1995	2416
YGR242W	0	0	1	0	0	0	1	0	1	1	2	1	2	0	0	2
YKL029C	2731	1830	1549	1481	4555	5470.99	3882	5186.99	996	656	1478	1126	4744	5604	4696	5666
YLR154C-G	1382	681	1283	1138	1036	1085	1455	1828	889	911	2192	903	1054	2315	1602	1307
YPL028W	18091	16580	14580	18597	12079	12379	11905	13482	10599	10083	10267	7789	13963	12564	14294	15807
YDL235C	1621	1071	1021	1279	792	777	580	735	746	927	900	788	927	994	649	934
YER091C	11862	11144	4964	8175	1051	1033	1093	1317	1718	1408	1797	1649	1007	1194	1179	1170
YDR356W	467	169	159	255	334	224	273	324	167	114	145	139	286	227	250.53	346
YDR337W	637	399	356	415	433	430	431	447	312	343	375	345	588	546	450	532
YKL008C	1658	1366	1413	1538	1160	1235	1160	1041	1382	1421	1632	1226	1420	1200	1295	1390
YDL200C	127	90	71	78	68	31	51	55	69	66	62	60	75	55	65	35
YJR134C	893	410	477	605	481	336	340	416	349	332	401	312	436	365	341	373
YMR135C	561	429	388	447	66	95	88	77	536	651	529	434	80	76	53	118
YGR012W	1514	1153	999	1013	497	404	447	490	767	962	805	703	531	571	416	562
YCR024C-A	370	345	408	319	746.08	792	1300.51	900	74	275	270	243	1041	861	1513	1238
YBL101C	1827	1372	1219	1368	329	336	254	299	1406	1479	1479	1063	257	283	266	325
YLL040C	4040	3229	2732	3311	919	949	811	936	3090	3686	3879	2831	933	1067	913	1099
YGL118C	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	2
YLR216C	17794.6	12026.9	11983.5	13936.5	2810	2318	2380	2509	14704.8	16059.3	15520	13039.9	2178	2392	1873	2204
YJL210W	404	372	294	376	382	377	323	404.665	515	459	445.52	375	368	295	345	450
YPR096C	1	0	1	4	2	0	2	3	1	1	6	1	1	0	1	9
YML116W-A	217.153	132.12	117.09	150.134	47.035	59.056	53.011	61.03	143.066	164.087	165.068	131.053	64.059	69.041	50.052	66.041
YBL058W	2341	1678	1418	1644	837	849	655	771	1587	1680	1786	1568	722	866	719	872
YJR127C	1040	816	729	859	407	470	348	425	1733	1755	1803	1137	419	387	397	517
YKL128C	2046	1584	1431	1614	814	786	668	854	1331	1324	1224	1021	849	958	794	1060
YLR100W	2260	1784.94	1584	1870	2305.99	2195.96	1828	2328	1200	1273	1191	970	2418	2379.99	2174	2817
YOR292C	543	406	422	486	191	170	169	192	803	722	711	576	229	156	200	215
YNL219C	5360	4648	4236	5177	2825	3010	2535	2973	3923	4724	4242	3698	3607	3184	3113	3363
YDR540C	315	171	224	210	45	19	30	37	140	145	145	142	45	46	23	58
YER087W	567	364	368	353	151.744	174	146	183	245	308	301.919	290	167	232	154	259
YFL009W	2057.95	1733.98	1453.93	1856.82	771.984	841.997	700.973	809.986	1399.94	1540.96	1478.99	1176.96	842.981	846.987	681.995	855
YLL004W	421	327	269	334	317	229	226	300	166	268	236	191	278	289	226	355
YKL057C	4273	3487	3070	3563	2971	2756	2371	2567	2106	3013	2832	2290	3150	2804	2759	3037
YGL157W	1387	1069	934	1202	662	584	480	618	1051	1007	995	828	688	653	495	734
YLR037C	21.581	29.695	25	24.277	9.771	10.944	15.871	14.664	14.923	13.676	23	16.809	16	9	20.847	31.664
YMR307W	17968	16800	14295.9	17267	33672	34696	34947.8	37009	9887	10236	11353.8	9172	42756	36485	42290.9	45258
YIL116W	3067	2288	2417	3211	496	443	434	512	2132	1924	2305	1745	465	527	405	535
YAL040C	3349	2794	2982	3918	2420	2618	2312	2736	5645	5726	5626	4680	2947	2642	2667	3095
YBR051W	1	0	0	0	2	0	0	0	0	1	3	2	0	0	0	0
YPL259C	1434	1014	900	983	637	499	429	534	659	781	801	599	583	675	492	623
YDR461C-A	15	8	17	6	2	1	3	1	18	10	20	10	1	0	1	3
YIR005W	95	55	60	73	45	32	41	32	38	26	23	40	58	43	26	41
YDL080C	799	640	533	681	249	213	194	261	493	460	498	377	208	277	205	282
YEL044W	189	143	115	147	247	287	281	333	91	117	92	60	288	332	299	305
YLR286C	10377	9445	9628	11711	6543	6642	6241	7088	8878	8470	8156.97	7015	7510	6618.98	7276.99	7728
