Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YIL170W	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
YIL175W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL276W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFL056C	5	9	5.057	2.24	0	2.542	8	6	0	3	1.151	3.945	0	0	2	1.174
YCL074W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
YCL075W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL275W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR232C	0	0	0	1.949	0	0	0	1	1	0	0	0	0	0.739	0	0
YGR014W	21	21	28	34	29	34	32	42	15	32	22	24	33	23	38	26
YPR031W	2	1	1	0	4	5	4	4	0	2	3	0	7	5	4	5
YIL003W	1	0	1	1	0	1	8	0	2	1	0	0	1	1	3	4
YBR140C	50	59	36	42	17	24	21	30	27	35	49	39	33	18	22	18
YGR242W	0	0	2	0	0	0	0	0	1	0	1	0	0	1	1	0
YKL029C	33	25	20	10.716	50.915	56.888	71.759	57.971	7	11	21	12	78	51	59.942	54.947
YLR154C-G	16	8	20	17	14	8	25	27	10	10	28	10	13	34	21	11
YPL028W	192	212	177	195	135	131	181	160	108	112	109	75	195	116	173	157
YDL235C	17	15	10	7	11	10	10	9	9	8	6	12	15	16	5	9
YER091C	116	147	71	84	9	12	10	18	24	11	20	17	17	12	17	3
YDR356W	7	0	6	1	4	5	3	7	2	1	0	2	2	2	5	5
YDR337W	4	6	5	3	9	5	6	2	4	4	2	3	10	7	5	2
YKL008C	12	15	18	7	11	15	14	16	16	11	19	7	23	18	12	15
YDL200C	1	3	1	1	1	0	0	1	0	0	0	0	1	1	2	0
YJR134C	8	4	5	4	5	5	4	2	1	5	3	5	3	4	6	4
YMR135C	2	8	2	7	1	0	1	1	6	6	4	5	1	0	0	1
YGR012W	11	16	16	6	4	5	6	7	6	13	13	12	8	5	10	4
YCR024C-A	5	1	5	2	9	8	17	11	0	4	2	9	13	9	21	12
YBL101C	20	14	16	14	3	6	8	2	6	17	17	11	6	3	5	3
YLL040C	37	36	41	29	7	6	6	17	33	41	51	41	11	10	12	5
YGL118C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLR216C	196.408	142	121	136.677	23.999	28.077	32.316	31.073	143	197	162.057	132.554	25.123	28	31	19
YJL210W	8	3	9	3.01	6	4	2	7	6	2	3	5	6	4	2.012	5
YPR096C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YML116W-A	5.007	1	2	2	1.003	2	2	0	5	4.008	3	0	0	2	2.009	0
YBL058W	31	16	18	14	8	9	13	12	18	23	26	15	7	10	6	9
YJR127C	10	12	9	11	3	8	7	5	18	24	20	18	8	7	9	5
YKL128C	21	20	19	26	6	8	7	15	12	17	13	13	15	18	6	15
YLR100W	22.946	23.268	14	20	20	17.71	27	27	18	8	11	11	35	36	24.879	34.999
YOR292C	6	2	4	6	2	2	2	2	13	5	11	7	6	1	3	4
YNL219C	61	54	52	60	36	32	40	42	28	51	49	40	46	40	42	45
YDR540C	2	3	5	0	0	0	1	1	0	1	0	0	0	1	0	3
YER087W	7	3	6	3	0	3	4	2	2	0	1	1	3	3	2	2
YFL009W	16	18	27	27	5	10	11	16	12.936	19	17	13	11	8	5	6
YLL004W	6	2	1	4	3	6	2	4	2	3	4	0	4	6	4	1
YKL057C	49	36	45	41	26	38	36	23	23	41	34	27	45	43	34	34
YGL157W	18	9	10	14	6	6	8	14	11	8	9	7	7	5	3	10
YLR037C	0	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	1
YMR307W	201	192	159	169	320	411	481	467	87	104	139	101	619	445	551.915	472
YIL116W	44	33	18	28	6	7	3	12	16	25	38	28	7	6	5	5
YAL040C	29	31	24	31	28	39	22	35	43	61	56	63	35	34	34	33
YBR051W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL259C	15	9	13	9	5	4	5	7	4	9	9	11	10	11	10	6
YDR461C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YIR005W	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
YDL080C	8	9	6	5	1	2	1	4	3	5	8	6	2	5	4	3
YEL044W	2	2	0	4	3	7	4	1	0	0	1	2	2	6	6	3
YLR286C	106	124	108	110	78	60	82	77	81	100	95	84	104	73	91	76
YJL209W	4	5	7	5	6	6	4	7	4	2	5	5	9	5	4	2
YOR371C	15	9	7	6	9	8	9	8	5	4	9	10	4	1	4	4
YLR071C	32	18	16	12	12	11	21	16	8	15	20	12	15	18	17	12
