Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YIL170W	0.657833	0.790986	0.902841	0.866612	0.04965	0	0.095999	0	0.702419	0.437307	0.778193	1.2708	0.13291	0.062212	0	0.113929
YIL175W	0	0	0	0	0	0	0	0	0	0	0.9107	0	0	0	0	0
YPL276W	0	0	0	0.142399	0	0	0	0.379559	0	0.48618	0.330538	0	0	0	0	0.113525
YFL056C	18.318	19.3988	16.1364	13.5914	5.3583	5.91655	5.88465	6.16185	7.24879	8.10455	8.47733	9.14564	4.90315	5.51034	6.31004	5.56535
YCL074W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR061W	1.22853	0.633819	0.985365	1.23296	0.881599	0.705664	0.668133	0.494585	0.946882	1.32816	0.823235	0.761406	0.472336	0.53987	0.445489	0.367933
YCL075W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL275W	0	0.418081	0	0	0.121055	0	0	0	0	0	0	0	0	0	0	0.092593
YBR232C	0.462818	0.909608	0.304816	0.243372	0	0	0	0	0.556798	0	0.282096	0	0	0.491992	0	0.58207
YGR014W	22.4804	26.2861	23.0901	21.659	19.7777	22.2892	19.7832	18.045	17.5352	21.0478	19.3651	18.1985	18.5812	18.1558	18.1769	16.0986
YPR031W	1.95024	2.01067	1.54469	1.50143	5.70078	5.20181	4.14211	4.18066	1.28814	2.34789	1.15134	1.23763	4.64431	5.14922	3.61066	3.61233
YIL003W	6.44433	5.13351	4.19124	4.02414	13.2451	11.6484	11.7154	9.74762	3.58573	3.91552	4.47376	3.91068	11.2684	13.1877	11.2156	13.1703
YBR140C	13.025	13.5904	11.8538	12.3285	5.55961	6.70974	5.71784	4.82353	12.0644	13.6676	14.8763	12.1024	5.89599	6.15297	5.40065	5.71092
YGR242W	0	0	0.562654	0	0	0	0.485325	0	0.513853	0.546389	1.04277	0.628397	0.794058	0	0	0.716288
