Name	YPS606_MSN24_ETOH_REP1_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP2_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP3_R1.fastq.gz_quant	YPS606_MSN24_ETOH_REP4_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP1_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP2_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP3_R1.fastq.gz_quant	YPS606_MSN24_MOCK_REP4_R1.fastq.gz_quant	YPS606_WT_ETOH_REP1_R1.fastq.gz_quant	YPS606_WT_ETOH_REP2_R1.fastq.gz_quant	YPS606_WT_ETOH_REP3_R1.fastq.gz_quant	YPS606_WT_ETOH_REP4_R1.fastq.gz_quant	YPS606_WT_MOCK_REP1_R1.fastq.gz_quant	YPS606_WT_MOCK_REP2_R1.fastq.gz_quant	YPS606_WT_MOCK_REP3_R1.fastq.gz_quant	YPS606_WT_MOCK_REP4_R1.fastq.gz_quant
YIL170W	0	0	0	2.30625	0	0	0	0	0	0	0	2.59404	1.57533	0	0	0
YIL175W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL276W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YFL056C	13.3479	26.1911	15.2938	6.61971	0	7.04272	17.8296	12.5352	0	10.0661	3.37729	13.1152	0	0	4.09568	2.65379
YCL074W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAR061W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3756	0
YCL075W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL275W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR232C	0	0	0	45.9377	0	0	0	16.6565	27.7849	0	0	0	0	15.2979	0	0
YGR014W	13.3929	14.5998	20.231	24.0086	19.8814	22.5011	17.0379	20.9625	12.4885	25.6511	15.4173	19.0621	15.9172	14.273	18.5906	14.0432
YPR031W	2.34473	1.27801	1.3282	0	5.04099	6.08276	3.915	3.66995	0	2.94708	3.86467	0	6.20665	5.70379	3.5973	4.96444
YIL003W	3.70445	0	4.19687	4.10163	0	3.84407	24.7413	0	9.672	4.65611	0	0	2.80169	3.60458	8.5251	12.5493
YBR140C	12.965	16.6772	10.5756	12.0582	4.73853	6.45773	4.546	6.0878	9.13961	11.4069	13.9613	12.5941	6.4716	4.54155	4.37601	3.95286
YGR242W	0	0	89.0187	0	0	0	0	0	51.2875	0	43.1696	0	0	38.2278	30.1373	0
YKL029C	43.8978	36.2525	30.1412	15.7833	72.8054	78.527	79.6923	60.35	12.1559	18.3916	30.6956	19.8798	78.4728	66.013	61.1663	61.9023
YLR154C-G	7234.87	3943.4	10245.7	8511.22	6805.06	3753.78	9437.56	9554.59	5903.01	5683.42	13912.2	5631.36	4445.81	14959.6	7284.24	4212.51
YPL028W	474.671	571.343	495.754	533.774	358.772	336.07	373.576	309.563	348.56	348.023	296.105	230.916	364.605	279.049	328.089	328.721
YDL235C	156.695	150.719	104.426	71.4393	108.992	95.6478	76.9514	64.9213	108.296	92.6821	60.7697	137.75	104.567	143.502	35.3534	70.2566
YER091C	132.22	182.653	91.6855	106.011	11.0275	14.1935	9.5159	16.0565	35.712	15.7591	25.0495	24.1319	14.655	13.3092	14.8643	2.896
YDR356W	6.33984	0	6.15649	1.0028	3.89434	4.69914	2.26835	4.96154	2.36468	1.13836	0	2.25586	1.36996	1.76255	3.4738	3.8352
YDR337W	15.3271	25.0623	21.7056	12.7278	37.0711	19.881	19.1938	5.99746	20.0089	19.2645	8.42089	14.3161	28.9799	26.0993	14.6968	6.49033
YKL008C	27.8993	38.0165	47.4117	18.0195	27.4914	36.1885	27.1737	29.1118	48.5617	32.1442	48.5393	20.268	40.4423	40.7207	21.4016	29.5352
YDL200C	7.38553	24.1531	8.36726	8.17737	7.93917	0	0	5.77989	0	0	0	0	5.58571	7.18642	11.3309	0
YJR134C	9.99451	5.44755	7.0769	5.53304	6.71482	6.482	4.17196	1.95542	1.63092	7.85128	4.11833	7.77936	2.83458	4.86253	5.75012	4.23222
YMR135C	4.18822	18.2624	4.74494	16.2304	2.25109	0	1.74827	1.63884	16.4026	15.7924	9.20423	13.0398	1.58378	0	0	1.77352
YGR012W	27.6323	43.8142	45.5352	16.6882	10.8014	13.0335	12.583	13.7613	19.6761	41.0457	35.8837	37.5412	15.1989	12.2215	19.2699	8.50985
