YORF	t0Rep1	t5Rep1	t10Rep1	t15Rep1	t30Rep1	t45Rep1	t60Rep1	t90Rep1	t120Rep1	t240Rep1	t0Rep2	t5Rep2	t10Rep2	t15Rep2	t30Rep2	t45Rep2	t60Rep2	t90Rep2	t120Rep2	t240Rep2	t0Rep3	t5Rep3	t10Rep3	t15Rep3	t30Rep3	t45Rep3	t60Rep3	t90Rep3	t120Rep3	t240Rep3
YIL062C	0.043559313	-0.500750925	-0.503872815	-0.517657583	0.826023048	0.121803654	0.500520709	-0.384393743	-0.33238822	0.59768921											0.523673122	-0.566202919	-0.513628849	-0.203803358	-0.566608311	0.216953964	0.384609364	-0.174655186	0.163647758	0.552677293
YML004C	0.661945928	0.244969942	0.681402677	0.651066617	0.817834501	0.086724706	-0.043186333	-0.90960046	-1.078268312	-1.347883515											-0.151505915	-0.018797161	-0.005883452	0.12447383	0.345568776	0.455542669	0.277958908	-0.013494003	-0.404394153	-0.787034971
YGR161C	-1.598647827	0.235935593	0.339735323	0.52335999	0.665083895	0.820515177	0.12977386	0.034205757	-0.191968498	-1.121992263											-0.396157689	-0.035608974	0.349226578	0.671063854	0.817737957	0.641271076	0.11302806	-1.014764025	-0.535965676	-0.779969397
YPR070W	-0.082133167	-0.68053562	0.561905332	-0.473761253	0.57538254	1.71E-04	-0.465532514	-0.161030192	0.787746484	-0.25868024											-0.352573947	-0.073250809	0.003539862	0.059179298	0.130298182	0.158784274	-0.232141388	-0.021218331	0.16159237	-0.013964415
YGL037C	-2.35739037	-1.775547045	-1.052511606	-0.436776428	0.5393559	0.917681205	1.043444456	1.13549677	0.800851054	1.011396911											-2.039619345	-2.116672982	-1.537681712	-0.734771667	0.441401439	1.437027805	1.863171108	0.781516742	1.224038273	0.523745913
YMR149W	1.639291455	-0.670846753	1.735120282	0.933234189	0.536337958	-1.347588677	-0.469782609	-1.01635187	-1.189358681	-0.296472185											0.710624742	0.066556361	0.058583967	-0.035914856	-0.114529912	0.339150727	0.341215768	-0.752192619	-0.223169712	-0.56418564
YIL003W	0.435657428	-0.775573342	0.5584477	0.353785681	0.516869894	-0.975431014	-0.859066975	0.352872397	0.068903476	0.160161584											0.11567146	0.140077325	-0.041162792	0.158147174	0.018633	-0.232356124	-0.100634341	-0.173513175	0.047967845	-0.104006864
YLR177W	-1.054982466	-0.91223606	-0.554023256	-0.188559323	0.513327659	0.445998383	0.621773449	0.068588786	0.375088859	0.642213737											-0.818017657	-1.101764243	-0.974146153	-0.099777097	-0.073208171	0.569171593	0.845695797	0.340437646	0.925458355	0.23638612
YEL011W	-1.272632555	-1.557729387	-0.512735375	-0.615528155	0.489617224	0.525897879	0.788074829	0.572094179	0.759737615	0.670733944											-1.138591519	-1.607640676	-1.108287303	-0.703339673	-0.228983517	0.63738385	0.881599088	0.897444432	1.160592348	1.053856657
YNL074C	6.23E-05	-0.465504044	0.140239061	0.402027904	0.483779126	-1.229602461	0.207969365	-0.076093247	-0.006814642	0.324230102											0.023112537	-0.301820476	-0.116038816	-0.397295115	-0.019240851	-0.203760665	-0.144655761	-0.046336976	0.299151211	0.774460922
YNL001W	0.128313748	0.266508077	0.05071739	0.249113896	0.442495036	-0.44247389	0.626046433	-1.563188896	-0.169227337	0.26527865											0.371984999	0.131280173	0.20298749	0.171718977	-0.110972972	0.198055902	0.20052961	-0.695607847	-0.144762648	-0.499622123
YOR173W	-1.730216936	-1.497237925	-1.397162857	-0.858057061	0.431426564	1.112654326	0.90746883	1.356001166	0.972631896	0.559427043											-1.288376691	-1.443071796	-0.989799635	-0.784015073	0.131713663	0.526731131	0.918595251	0.995903881	0.949630595	0.800724375
YGR208W	-0.956984347	-1.391969297	-0.765303657	-0.236566072	0.430666573	-0.045086645	0.695618532	0.131406428	0.67380296	1.294646154											-1.203308472	-1.055329519	-0.94678152	-0.792025282	-0.409756891	0.348435877	0.686299453	0.872995398	0.99351352	1.32055444
YDL223C	-2.30617502	-1.968751122	-2.005919001	-1.126895815	0.407702353	1.286186956	1.531880852	1.798935088	1.58552181	0.659982279											-2.182765343	-2.080008335	-2.278830155	-1.473234263	0.024096509	0.982041135	1.62617264	1.793141743	1.925398487	1.499200829
YPR160W	-1.079614991	-0.971037872	-0.532544889	-0.188013295	0.357172818	0.439939957	0.49143371	0.371011302	0.489915566	0.551636192											-1.060828112	-1.060852442	-0.97359883	-0.539135021	0.049677557	0.403121486	0.672558783	0.551249878	0.705877829	1.066016855
YJL099W	-0.234285186	-0.06942315	-0.339397864	0.317283117	0.354224299	-0.547188896	-0.208205788	0.173541323	0.12280544	0.323751177											0.319361227	0.090624343	-0.096816034	-0.003407396	-0.28853286	0.101608804	0.315711841	-0.452612623	0.039799369	-0.227000851
YBR068C	0.765238366	0.343196824	0.653559004	0.728712103	0.351370442	-0.533447343	-0.212536179	-1.399345153	-1.073869805	0.192496606											-0.598281128	0.567977959	1.135217923	0.750242136	0.514581712	-1.10469111	-1.214732942	-0.176135267	-0.464106418	0.426038126
YKL007W	0.422269544	-0.107160227	0.621852272	0.653013303	0.344378225	-1.06513804	0.365604205	-1.307007	-0.624637082	0.488737753											-3.17E-04	-0.223654617	-0.278090163	-0.246526913	-0.118647616	0.219077209	0.385158151	0.031257232	0.172194523	-0.118702015
YCR005C	-0.631487262	-0.553874096	-0.19686187	-0.087102429	0.320301312	0.58885453	0.254989277	0.045420358	0.06709771	0.083866352											-0.582978459	-0.400751195	-0.286651259	-0.033900102	0.245911582	0.611610106	0.508745386	-0.042039551	0.110923644	-0.288033155
