Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
filtered_subset_phenol_heat_rep1								37.91260907294418	40.0	49.980694302503835	50	10.0	187872.0
filtered_subset_phenol_heat_rep1_rfastp	27.5601	0.968232	7614426.0	187860.0	0.39854	99.98616182153008							
filtered_subset_phenol_heat_rep2								37.33541421344613	41.0	49.979325985081836	50	10.0	318806.0
filtered_subset_phenol_heat_rep2_rfastp	31.2589	0.968909	12920856.0	318781.0	0.403875	99.98274975222371	0.7289013787652586						
filtered_subset_phenol_heat_rep3								41.94028954386404	41.0	49.978530155624064	50	10.0	216676.0
filtered_subset_phenol_heat_rep3_rfastp	29.1123	0.969604	8805371.0	216672.0	0.407415	99.99492345961613							
filtered_subset_phenol_heat_rep4								36.6852625110437	42.0	49.97952829429284	50	10.0	310575.0
filtered_subset_phenol_heat_rep4_rfastp	30.181400000000004	0.97005	12609120.0	310557.0	0.413913	99.99130669963682	0.8368106534786081						
filtered_subset_phenol_unstressed_rep1								39.79573593603079	40.0	49.98164178634086	50	20.0	190378.0
filtered_subset_phenol_unstressed_rep1_rfastp	29.137200000000004	0.967438	7699772.0	190368.0	0.39481	99.99002032701813							
filtered_subset_phenol_unstressed_rep2								37.994202498529475	40.0	49.98201749802886	50	20.0	315807.0
filtered_subset_phenol_unstressed_rep2_rfastp	31.7554	0.96737	12767448.0	315804.0	0.390416	99.9920843241121							
filtered_subset_phenol_unstressed_rep3								38.84588631365076	42.0	49.98006085192698	50	10.0	197200.0
filtered_subset_phenol_unstressed_rep3_rfastp	28.3979	0.969743	8015429.0	197201.0	0.41023	99.99188710912345							
filtered_subset_phenol_unstressed_rep4								37.88867920744378	40.0	49.98106385745871	50	20.0	192225.0
filtered_subset_phenol_unstressed_rep4_rfastp	26.391599999999997	0.967058	7767991.0	192220.0	0.389242	99.991156749221							
subset_phenol_heat_rep1								37.92097023410393	40.0	50.0	50	10.0	187886.0
subset_phenol_heat_rep2								37.33855018114416	41.0	50.0	50	10.0	318836.0
subset_phenol_heat_rep3								41.94557305055477	41.0	50.0	50	10.0	216683.0
subset_phenol_heat_rep4								36.69084656679441	42.0	50.0	50	10.0	310584.0
subset_phenol_unstressed_rep1								39.80290166202878	40.0	50.0	50	20.0	190387.0
subset_phenol_unstressed_rep2								37.99658148319921	40.0	50.0	50	20.0	315829.0
subset_phenol_unstressed_rep3								38.848982346589246	42.0	50.0	50	10.0	197217.0
subset_phenol_unstressed_rep4								37.894025718635504	40.0	50.0	50	20.0	192237.0
