Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YMR105C	PGM2	Phosphoglucomutase	7.599997286	9.40E-38	3.26E-35	0.784817976	3.43E-06	7.42E-06	-6.81517931	6.34E-32	3.65E-28	-0.144061475	0.350436027	0.998531082	-6.959240785	8.55E-37	1.64E-33			
YML100W	TSL1	Large subunit of trehalose 6-phosphate synthase/phosphatase complex	7.761827991	1.04E-35	1.54E-33	0.609498518	0.000840173	0.001398507	-7.152329473	2.53E-30	7.28E-27	-0.365016862	0.041423492	0.998531082	-7.517346335	2.04E-35	1.96E-32			
YER053C	PIC2	Mitochondrial copper and phosphate carrier	6.694002444	3.03E-39	2.07E-36	1.73591634	4.64E-16	2.86E-15	-4.958086104	1.35E-27	2.59E-24	-0.126477953	0.425528399	0.998531082	-5.084564057	3.06E-36	3.52E-33			
YPR149W	NCE102	Protein involved in regulation of pheromone response and mating	0.713788825	2.17E-07	4.57E-07	-3.521340551	5.92E-29	2.62E-27	-4.235129376	3.23E-27	4.65E-24	0.001926585	0.986853924	0.998929735	-4.233202791	7.93E-32	2.85E-29			
YKL035W	UGP1	UDP-glucose pyrophosphorylase (UGPase)	4.421855846	7.55E-34	5.44E-32	0.595309467	2.66E-06	5.84E-06	-3.826546379	8.30E-27	9.55E-24	-0.113313599	0.310425668	0.998531082	-3.939859978	3.73E-32	1.79E-29			
YLR258W	GSY2	Glycogen synthase	7.523225059	2.20E-40	6.33E-37	2.677498425	1.07E-22	1.60E-21	-4.845726634	1.20E-26	1.15E-23	-0.38239907	0.022699995	0.912881537	-5.228125704	3.04E-36	3.52E-33			
YMR196W	YMR196W	Putative protein of unknown function	7.331688474	9.30E-37	2.14E-34	2.204444639	6.81E-18	5.28E-17	-5.127243835	5.51E-26	4.53E-23	0.181674895	0.30348157	0.998531082	-4.945568939	4.06E-32	1.80E-29			
YFR053C	HXK1	Hexokinase isoenzyme 1	9.083813405	6.36E-38	2.62E-35	1.362829715	4.83E-07	1.14E-06	-7.720983689	3.61E-25	2.59E-22	-0.916859266	0.000592963	0.120985547	-8.637842956	1.18E-37	3.41E-34			
YDR001C	NTH1	"Neutral trehalase, degrades trehalose"	3.636598392	1.69E-34	1.52E-32	0.752744363	5.96E-10	1.87E-09	-2.883854029	5.94E-25	3.80E-22	-0.168022326	0.091258543	0.998531082	-3.051876355	6.09E-32	2.34E-29			
YBR126C	TPS1	Synthase subunit of trehalose-6-P synthase/phosphatase complex	5.329614579	4.03E-36	6.83E-34	1.893617328	4.12E-20	4.32E-19	-3.435997251	1.78E-24	1.02E-21	-0.204081068	0.084769076	0.998531082	-3.640078319	1.21E-30	2.78E-28			
